target,model,n,min_db,p01_db,median_db,max_db,rural_min_db
lden,phase2c_finite_line,1000,22.865352922306364,23.788415378522174,44.547774265364225,65.52114183018766,22.865352922306364
lden,phase2c_bounded_finite_line,1000,22.86534591515818,23.788405841861174,44.54778471324653,65.52113876081872,22.86534591515818
lnight,phase2c_finite_line,1000,12.223161349357083,13.989669991514326,33.97154473442515,53.427247683017114,12.223161349357083
lnight,phase2c_bounded_finite_line,1000,12.223193143451486,13.989692950653085,33.97156240878194,53.42722487445371,12.223193143451486
